,Place,Address,Category,Rating,urls,lat,lng
38,SBCD Korean Tofu House,"7 Wallich St, #B1 - 01 / 02",Korean,4.2,"https://www.google.com/maps/place/SBCD+Korean+Tofu+House/@1.2770022,103.8367301,15z/data=!3m2!4b1!5s0x31da191323663569:0x2373592c68ddd6e8!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da191326c769d5:0xd3f6a3fb5f043c2c!8m2!3d1.2770022!4d103.8454634!15sCgEqWgMiASqSARFrb3JlYW5fcmVzdGF1cmFudA",1.2770022,103.8454634
39,Le Bon Funk,29 Club St,Restaurant,4.5,"https://www.google.com/maps/place/Le+Bon+Funk/@1.2823685,103.8377584,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da190ce6c39e55:0x30e4543a56f06b5d!8m2!3d1.2824499!4d103.8464593!15sCgEqWgMiASqSAQpyZXN0YXVyYW50",1.2824499,103.8464593
40,Rebel Rebel Wine Bar,14 Bukit Pasoh Rd,Restaurant,4.6,"https://www.google.com/maps/place/Rebel+Rebel+Wine+Bar/@1.2789886,103.8322223,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da1902e1c83fe1:0x4f6da8ec9dcb81fa!8m2!3d1.2789647!4d103.8408594!15sCgEqWgMiASqSAQpyZXN0YXVyYW50",1.2789647,103.8408594
41,Wine Mouth,432A Joo Chiat Rd,Wine store,4.9,"https://www.google.com/maps/place/Wine+Mouth/@1.306851,103.8953797,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da198a7a2a7377:0x69b44f308f6f522b!8m2!3d1.306851!4d103.904113!15sCgEqWgMiASqSAQp3aW5lX3N0b3Jl",1.306851,103.904113
42,Momolato,34 Haji Ln,Ice Cream,4.4,"https://www.google.com/maps/place/Momolato/@1.3008869,103.8503082,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da19a37eec2e31:0xfe90b0e58da1e0e1!8m2!3d1.3008869!4d103.8590415!15sCgEqWgMiASqSAQ5pY2VfY3JlYW1fc2hvcA",1.3008869,103.8590415
43,Cô Hai Bánh Mì,359 Beach Rd,Vietnamese,4.4,"https://www.google.com/maps/place/C%C3%B4+Hai+B%C3%A1nh+M%C3%AC/@1.301626,103.8531674,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da19b163e6a625:0x16348bb0f6f74c7b!8m2!3d1.301626!4d103.8619007!15sCgEqWgMiASqSARV2aWV0bmFtZXNlX3Jlc3RhdXJhbnQ",1.301626,103.8619007
44,Two Men Bagel House Holland Village,17D Lor Liput,Bagel shop,4.3,"https://www.google.com/maps/place/Two+Men+Bagel+House+Holland+Village/@1.310262,103.7862217,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da1b4f9c721673:0x773a4fc0b0e6c0e0!8m2!3d1.3102474!4d103.7949802!15sCgEqkgEKYmFnZWxfc2hvcA",1.3102474,103.7949802
45,Kafe Utu,12 Jiak Chuan Rd,African,4.6,"https://www.google.com/maps/place/Kafe+Utu/@1.2797961,103.8331778,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da197966025c87:0x6a28e23f7542b25d!8m2!3d1.2797961!4d103.8419111!15sCgEqWgMiASqSARJhZnJpY2FuX3Jlc3RhdXJhbnQ",1.2797961,103.8419111
46,Kazbar,"25 Church St, Capital Square",Middle Eastern,4.4,"https://www.google.com/maps/place/Kazbar/@1.2834707,103.840035,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da190c6fb52b4f:0x96a165aa269cd416!8m2!3d1.2834707!4d103.8487683!15sCgEqWgMiASqSARltaWRkbGVfZWFzdGVybl9yZXN0YXVyYW50",1.2834707,103.8487683
47,Apartment Coffee,"161 Lavender St., #01-12",Cafe,4.7,"https://www.google.com/maps/place/Apartment+Coffee/@1.3126401,103.8523623,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da19b3766f12c9:0x8f608d2a4ba4c0a5!8m2!3d1.3126718!4d103.86113!15sCgEqWgMiASqSAQRjYWZl",1.3126718,103.86113
